Date,Open,High,Low,Close,Adj Close,Volume
2018-12-07,70.419998,71.029999,69.449997,69.760002,61.456276,1066400
2018-12-10,69.260002,69.559998,68.320000,68.750000,60.566494,1007500
2018-12-11,69.550003,70.059998,68.010002,68.139999,60.029106,1014200
2018-12-12,69.110001,69.110001,68.089996,68.180000,60.064346,942800
2018-12-13,68.209999,68.470001,67.320000,67.580002,59.535763,642600
2018-12-14,66.660004,67.510002,66.599998,67.139999,59.148125,895200
2018-12-17,67.000000,67.489998,66.139999,66.349998,58.452168,745300
2018-12-18,66.510002,67.550003,66.370003,66.519997,58.601940,906300
2018-12-19,66.870003,67.639999,65.900002,66.019997,58.161449,893000
2018-12-20,65.849998,66.330002,65.419998,65.650002,57.835499,523400
2018-12-21,65.540001,65.769997,64.029999,64.110001,56.478809,697900
2018-12-24,63.660000,64.150002,63.450001,63.509998,55.950222,428000
2018-12-26,63.680000,65.300003,62.790001,65.269997,57.500729,332100
2018-12-27,64.300003,65.169998,63.919998,65.169998,57.412636,688600
2018-12-28,65.279999,65.639999,64.889999,65.070000,57.324535,758300
2018-12-31,65.419998,65.879997,65.059998,65.349998,57.571205,541400
2019-01-02,64.769997,65.949997,64.529999,65.940002,58.090984,634200
2019-01-03,65.959999,66.150002,65.269997,65.830002,57.994072,581300
2019-01-04,66.760002,67.379997,66.370003,67.279999,59.271481,477100
2019-01-07,67.290001,67.690002,66.610001,67.550003,59.509331,625300
2019-01-08,68.120003,68.360001,67.300003,68.339996,60.205296,659400
2019-01-09,68.580002,69.870003,68.580002,69.430000,61.165546,567000
2019-01-10,69.230003,69.959999,68.900002,69.830002,61.517933,462900
2019-01-11,69.739998,70.129997,69.419998,69.919998,61.597229,286000
